Species,Gene,Genome,Localization,Complex,FPKM
Arabidopsis_dataset2,NDUFS6,Nuclear,Mitochondria,I,4199.21
Arabidopsis_dataset2,NDUFS7,Nuclear,Mitochondria,I,2373.18
Arabidopsis_dataset2,NDUFV1,Nuclear,Mitochondria,I,3759.14
Arabidopsis_dataset2,NDUFV2,Nuclear,Mitochondria,I,3305.79
Arabidopsis_dataset2,NDUSF8a,Nuclear,Mitochondria,I,3376.63
Arabidopsis_dataset2,NDUSF8b,Nuclear,Mitochondria,I,2745.81
Arabidopsis_dataset2,SDH1-1,Nuclear,Mitochondria,II,3988.66
Arabidopsis_dataset2,SDH2-1,Nuclear,Mitochondria,II,5161.86
Arabidopsis_dataset2,SDH3,Nuclear,Mitochondria,II,5933.28
Arabidopsis_dataset2,SDH4,Nuclear,Mitochondria,II,2530.84
Arabidopsis_dataset2,SDH5,Nuclear,Mitochondria,II,4469.85
Arabidopsis_dataset2,SDH6,Nuclear,Mitochondria,II,3228.66
Arabidopsis_dataset2,SDH7-1,Nuclear,Mitochondria,II,4961.19
Arabidopsis_dataset2,SDH8,Nuclear,Mitochondria,II,7554.65
Arabidopsis_dataset2,CYC1-1,Nuclear,Mitochondria,III,7481.49
Arabidopsis_dataset2,MPP alpha-1,Nuclear,Mitochondria,III,5643.06
Arabidopsis_dataset2,MPP beta,Nuclear,Mitochondria,III,7882.96
Arabidopsis_dataset2,QCR6-1,Nuclear,Mitochondria,III,8758.74
Arabidopsis_dataset2,QCR7-1,Nuclear,Mitochondria,III,6603.91
Arabidopsis_dataset2,QCR9,Nuclear,Mitochondria,III,11735.84
Arabidopsis_dataset2,UCR1-1,Nuclear,Mitochondria,III,10863.13
Arabidopsis_dataset2,UCRQ-1,Nuclear,Mitochondria,III,9852.59
Arabidopsis_dataset2,UCRY,Nuclear,Mitochondria,III,3348.55
Arabidopsis_dataset2,COX 5b-1,Nuclear,Mitochondria,IV,7127.81
Arabidopsis_dataset2,COX 5c-1,Nuclear,Mitochondria,IV,15175.33
Arabidopsis_dataset2,COX 6a,Nuclear,Mitochondria,IV,10082.04
Arabidopsis_dataset2,COX 6b-1,Nuclear,Mitochondria,IV,11932.14
Arabidopsis_dataset2,COX 6c,Nuclear,Mitochondria,IV,33.13
Arabidopsis_dataset2,COX X2-1,Nuclear,Mitochondria,IV,7284.5
Arabidopsis_dataset2,COX X3,Nuclear,Mitochondria,IV,9138.19
Arabidopsis_dataset2,COX X4,Nuclear,Mitochondria,IV,8054.28
Arabidopsis_dataset2,COX X6,Nuclear,Mitochondria,IV,510.04
Arabidopsis_dataset2,ATP15,Nuclear,Mitochondria,V,13141
Arabidopsis_dataset2,ATP16,Nuclear,Mitochondria,V,5272.07
Arabidopsis_dataset2,ATP17,Nuclear,Mitochondria,V,9320.65
Arabidopsis_dataset2,ATP20-1,Nuclear,Mitochondria,V,7233.83
Arabidopsis_dataset2,ATP2a,Nuclear,Mitochondria,V,22709.78
Arabidopsis_dataset2,ATP3,Nuclear,Mitochondria,V,8809.1
Arabidopsis_dataset2,ATP7,Nuclear,Mitochondria,V,11276.72
Arabidopsis_dataset2,L1,Nuclear,Mitochondria,RPL,748.32
Arabidopsis_dataset2,L10,Nuclear,Mitochondria,RPL,228.15
Arabidopsis_dataset2,L11,Nuclear,Mitochondria,RPL,2168.58
Arabidopsis_dataset2,L13,Nuclear,Mitochondria,RPL,1058.73
Arabidopsis_dataset2,L14-1,Nuclear,Mitochondria,RPL,976.11
Arabidopsis_dataset2,L15,Nuclear,Mitochondria,RPL,1012.36
Arabidopsis_dataset2,L17-1,Nuclear,Mitochondria,RPL,1812.49
Arabidopsis_dataset2,L18,Nuclear,Mitochondria,RPL,732.52
Arabidopsis_dataset2,L19-1,Nuclear,Mitochondria,RPL,1252.23
Arabidopsis_dataset2,L20,Nuclear,Mitochondria,RPL,1112.01
Arabidopsis_dataset2,L21,Nuclear,Mitochondria,RPL,396.09
Arabidopsis_dataset2,L22-1,Nuclear,Mitochondria,RPL,1371.35
Arabidopsis_dataset2,L23,Nuclear,Mitochondria,RPL,556.61
Arabidopsis_dataset2,L24,Nuclear,Mitochondria,RPL,1098
Arabidopsis_dataset2,L27-1,Nuclear,Mitochondria,RPL,1834.48
Arabidopsis_dataset2,L27-2,Nuclear,Mitochondria,RPL,761.25
Arabidopsis_dataset2,L28,Nuclear,Mitochondria,RPL,579.73
Arabidopsis_dataset2,L29,Nuclear,Mitochondria,RPL,900.12
Arabidopsis_dataset2,L3,Nuclear,Mitochondria,RPL,544.52
Arabidopsis_dataset2,L30,Nuclear,Mitochondria,RPL,958.53
Arabidopsis_dataset2,L32,Nuclear,Mitochondria,RPL,1117.1
Arabidopsis_dataset2,L33,Nuclear,Mitochondria,RPL,1443.4
Arabidopsis_dataset2,L36,Nuclear,Mitochondria,RPL,1070
Arabidopsis_dataset2,L4,Nuclear,Mitochondria,RPL,1171.94
Arabidopsis_dataset2,L6,Nuclear,Mitochondria,RPL,1359.96
Arabidopsis_dataset2,L7/L12-1,Nuclear,Mitochondria,RPL,4481.96
Arabidopsis_dataset2,L9,Nuclear,Mitochondria,RPL,634.16
Arabidopsis_dataset2,S10,Nuclear,Mitochondria,RPS,749.47
Arabidopsis_dataset2,S11,Nuclear,Mitochondria,RPS,1059.78
Arabidopsis_dataset2,S14,Nuclear,Mitochondria,RPS,1305.38
Arabidopsis_dataset2,S15-1,Nuclear,Mitochondria,RPS,1278.82
Arabidopsis_dataset2,S16-1,Nuclear,Mitochondria,RPS,3999.21
Arabidopsis_dataset2,S17-1,Nuclear,Mitochondria,RPS,1068.36
Arabidopsis_dataset2,S18,Nuclear,Mitochondria,RPS,1069.03
Arabidopsis_dataset2,S19,Nuclear,Mitochondria,RPS,1086.78
Arabidopsis_dataset2,S2,Nuclear,Mitochondria,RPS,1229.85
Arabidopsis_dataset2,S21,Nuclear,Mitochondria,RPS,15.91
Arabidopsis_dataset2,S5,Nuclear,Mitochondria,RPS,1052.56
Arabidopsis_dataset2,S6,Nuclear,Mitochondria,RPS,1070.43
Arabidopsis_dataset2,S8,Nuclear,Mitochondria,RPS,895.29
Arabidopsis_dataset2,S9,Nuclear,Mitochondria,RPS,171.82
Arabidopsis_dataset3,ND1,Mitochondria,Mitochondria,I,29627.84
Arabidopsis_dataset3,ND2,Mitochondria,Mitochondria,I,10545.82
Arabidopsis_dataset3,ND3,Mitochondria,Mitochondria,I,4905.29
Arabidopsis_dataset3,ND4,Mitochondria,Mitochondria,I,19368.91
Arabidopsis_dataset3,ND4L,Mitochondria,Mitochondria,I,16736.38
Arabidopsis_dataset3,ND5,Mitochondria,Mitochondria,I,17508.86
Arabidopsis_dataset3,ND6,Mitochondria,Mitochondria,I,31095.49
Arabidopsis_dataset3,ND7,Mitochondria,Mitochondria,I,29679.98
Arabidopsis_dataset3,ND9,Mitochondria,Mitochondria,I,29637.66
Arabidopsis_dataset3,cob-1,Mitochondria,Mitochondria,III,34226.4
Arabidopsis_dataset3,COX 1,Mitochondria,Mitochondria,IV,53141.96
Arabidopsis_dataset3,COX 2,Mitochondria,Mitochondria,IV,49136.77
Arabidopsis_dataset3,COX 3,Mitochondria,Mitochondria,IV,37519.82
Arabidopsis_dataset3,ATP1,Mitochondria,Mitochondria,V,117097.53
Arabidopsis_dataset3,ATP4,Mitochondria,Mitochondria,V,36833.47
Arabidopsis_dataset3,ATP6-1,Mitochondria,Mitochondria,V,52930.63
Arabidopsis_dataset3,ATP8,Mitochondria,Mitochondria,V,66910.26
Arabidopsis_dataset3,ATP9,Mitochondria,Mitochondria,V,339009.01
Arabidopsis_dataset3,L5,Mitochondria,Mitochondria,RPL,16583.9
Arabidopsis_dataset3,L2,Mitochondria,Mitochondria,RPL,14665.35
Arabidopsis_dataset3,L16,Mitochondria,Mitochondria,RPL,34008.01
Arabidopsis_dataset3,S12,Mitochondria,Mitochondria,RPS,8927.26
Arabidopsis_dataset3,S3,Mitochondria,Mitochondria,RPS,19075.14
Arabidopsis_dataset3,S4,Mitochondria,Mitochondria,RPS,4989.85
Arabidopsis_dataset3,S7,Mitochondria,Mitochondria,RPS,6657.18
Arabidopsis_dataset3,FPBP1,Nuclear,Mitochondria,I,1815.95
Arabidopsis_dataset3,FPBP2,Nuclear,Mitochondria,I,6632.36
Arabidopsis_dataset3,FPBP3,Nuclear,Mitochondria,I,2268.07
Arabidopsis_dataset3,FPBP4,Nuclear,Mitochondria,I,3391.38
Arabidopsis_dataset3,FPBP5,Nuclear,Mitochondria,I,3224.27
Arabidopsis_dataset3,NDU16,Nuclear,Mitochondria,I,6379.73
Arabidopsis_dataset3,NDUFA1,Nuclear,Mitochondria,I,18298.52
Arabidopsis_dataset3,NDUFA11,Nuclear,Mitochondria,I,5120.48
Arabidopsis_dataset3,NDUFA12a,Nuclear,Mitochondria,I,6355.5
Arabidopsis_dataset3,NDUFA12b,Nuclear,Mitochondria,I,2144.66
Arabidopsis_dataset3,NDUFA2,Nuclear,Mitochondria,I,5984.92
Arabidopsis_dataset3,NDUFA5,Nuclear,Mitochondria,I,7162.47
Arabidopsis_dataset3,NDUFA6,Nuclear,Mitochondria,I,5346.36
Arabidopsis_dataset3,NDUFA8a,Nuclear,Mitochondria,I,1566.16
Arabidopsis_dataset3,NDUFA8b,Nuclear,Mitochondria,I,6512.43
Arabidopsis_dataset3,NDUFA9,Nuclear,Mitochondria,I,4715.63
Arabidopsis_dataset3,NDUFB10a,Nuclear,Mitochondria,I,6309.47
Arabidopsis_dataset3,NDUFB10b,Nuclear,Mitochondria,I,7297.06
Arabidopsis_dataset3,NDUFB7,Nuclear,Mitochondria,I,7319.16
Arabidopsis_dataset3,NDUFB9,Nuclear,Mitochondria,I,7616.45
Arabidopsis_dataset3,NDUFS1,Nuclear,Mitochondria,I,4599.83
Arabidopsis_dataset3,NDUFS4,Nuclear,Mitochondria,I,6329.78
Arabidopsis_dataset3,NDUFS5a,Nuclear,Mitochondria,I,2675.43
Arabidopsis_dataset3,NDUFS5b,Nuclear,Mitochondria,I,3206.95
Arabidopsis_dataset3,NDUFS6,Nuclear,Mitochondria,I,7406.71
Arabidopsis_dataset3,NDUFS7,Nuclear,Mitochondria,I,7070.53
Arabidopsis_dataset3,NDUFV1,Nuclear,Mitochondria,I,8095.52
Arabidopsis_dataset3,NDUFV2,Nuclear,Mitochondria,I,5415.71
Arabidopsis_dataset3,NDUSF8a,Nuclear,Mitochondria,I,5974.34
Arabidopsis_dataset3,NDUSF8b,Nuclear,Mitochondria,I,2551.7
Arabidopsis_dataset3,SDH1-1,Nuclear,Mitochondria,II,4007.51
Arabidopsis_dataset3,SDH2-1,Nuclear,Mitochondria,II,4516.83
Arabidopsis_dataset3,SDH3,Nuclear,Mitochondria,II,7105.45
Arabidopsis_dataset3,SDH4,Nuclear,Mitochondria,II,2976.32
Arabidopsis_dataset3,SDH5,Nuclear,Mitochondria,II,6554.62
Arabidopsis_dataset3,SDH6,Nuclear,Mitochondria,II,3668.5
Arabidopsis_dataset3,SDH7-1,Nuclear,Mitochondria,II,5204.94
Arabidopsis_dataset3,SDH8,Nuclear,Mitochondria,II,7257.83
Arabidopsis_dataset3,CYC1-1,Nuclear,Mitochondria,III,10725.74
Arabidopsis_dataset3,MPP alpha-1,Nuclear,Mitochondria,III,6681.91
Arabidopsis_dataset3,MPP beta,Nuclear,Mitochondria,III,7953.06
Arabidopsis_dataset3,QCR6-1,Nuclear,Mitochondria,III,15985.53
Arabidopsis_dataset3,QCR7-1,Nuclear,Mitochondria,III,8451.34
Arabidopsis_dataset3,QCR9,Nuclear,Mitochondria,III,10523.85
Arabidopsis_dataset3,UCR1-1,Nuclear,Mitochondria,III,8418.48
Arabidopsis_dataset3,UCRQ-1,Nuclear,Mitochondria,III,16112.38
Arabidopsis_dataset3,UCRY,Nuclear,Mitochondria,III,3251.51
Arabidopsis_dataset3,COX 5b-1,Nuclear,Mitochondria,IV,9139.29
Arabidopsis_dataset3,COX 5c-1,Nuclear,Mitochondria,IV,14616.47
Arabidopsis_dataset3,COX 6a,Nuclear,Mitochondria,IV,11736.94
Arabidopsis_dataset3,COX 6b-1,Nuclear,Mitochondria,IV,15804.48
Arabidopsis_dataset3,COX 6c,Nuclear,Mitochondria,IV,9964.8
Arabidopsis_dataset3,COX X2-1,Nuclear,Mitochondria,IV,9822.97
Arabidopsis_dataset3,COX X3,Nuclear,Mitochondria,IV,12639.79
Arabidopsis_dataset3,COX X4,Nuclear,Mitochondria,IV,9273.89
Arabidopsis_dataset3,COX X6,Nuclear,Mitochondria,IV,439.87
Arabidopsis_dataset3,ATP15,Nuclear,Mitochondria,V,11765.32
Arabidopsis_dataset3,ATP16,Nuclear,Mitochondria,V,7911.46
Arabidopsis_dataset3,ATP17,Nuclear,Mitochondria,V,10010.8
Arabidopsis_dataset3,ATP20-1,Nuclear,Mitochondria,V,9257.76
Arabidopsis_dataset3,ATP2a,Nuclear,Mitochondria,V,27985.14
Arabidopsis_dataset3,ATP3,Nuclear,Mitochondria,V,11166.65
Arabidopsis_dataset3,ATP7,Nuclear,Mitochondria,V,12637.16
Arabidopsis_dataset3,L1,Nuclear,Mitochondria,RPL,1114.26
Arabidopsis_dataset3,L10,Nuclear,Mitochondria,RPL,11905.93
Arabidopsis_dataset3,L11,Nuclear,Mitochondria,RPL,5877.08
Arabidopsis_dataset3,L13,Nuclear,Mitochondria,RPL,1896.26
Arabidopsis_dataset3,L14-1,Nuclear,Mitochondria,RPL,1972.7
Arabidopsis_dataset3,L15,Nuclear,Mitochondria,RPL,2121.97
Arabidopsis_dataset3,L17-1,Nuclear,Mitochondria,RPL,2608.28
Arabidopsis_dataset3,L18,Nuclear,Mitochondria,RPL,1699.39
Arabidopsis_dataset3,L19-1,Nuclear,Mitochondria,RPL,2100.72
Arabidopsis_dataset3,L20,Nuclear,Mitochondria,RPL,1605.99
