TaxonomicGroup,Species(3 letter codes follow KEGG nomenclature),PAMLmodel,GeneGroup,dS,dN,omega (dN/dS)
Teleosts,Xiphophorus maculatus (southern platyfish),1,Nuc-OXPHOS,0.362835,0.04514,0.124409167
Teleosts,Oryzias latipes (Japanese medaka),1,Nuc-OXPHOS,0.460351,0.047168,0.102460948
Teleosts,Takifugu rubripes (torafugu),1,Nuc-OXPHOS,0.480296,0.048044,0.100029982
Teleosts,Danio rerio (zebrafish),1,Nuc-OXPHOS,1.098582,0.10257,0.093365812
Teleosts,Xiphophorus maculatus (southern platyfish),1,Nuc-Glycolysis,0.456476,0.056414,0.123585906
Teleosts,Oryzias latipes (Japanese medaka),1,Nuc-Glycolysis,0.611224,0.070581,0.11547485
Teleosts,Takifugu rubripes (torafugu),1,Nuc-Glycolysis,0.620923,0.088863,0.143114364
Teleosts,Danio rerio (zebrafish),1,Nuc-Glycolysis,1.148653,0.08002,0.069664207
Dipterans,ConcatenatedAlignment,0,Mt,6.7554,0.2348,0.034757379
Dipterans,ConcatenatedAlignment,0,Nuc-OXPHOS,4.2525,0.5325,0.125220459
Dipterans,ConcatenatedAlignment,0,Nuc-Glycolysis,4.0613,0.6904,0.169994829
Dipterans,Drosophila sechellia,1,Mt,0.088131,0.001046,0.011868695
Dipterans,Drosophila simulans,1,Mt,0.053765,0.000611,0.01136427
Dipterans,Drosophila melanogaster (fruit fly),1,Mt,0.299299,0.00461,0.015402658
Dipterans,Drosophila yakuba,1,Mt,0.526472,0.005257,0.009985336
Dipterans,Aedes aegypti (yellow fever mosquito),1,Mt,1.236582,0.037108,0.030008523
Dipterans,Anopheles gambiae (mosquito),1,Mt,0.995864,0.031336,0.031466144
Dipterans,Musca domestica (house fly),1,Mt,1.025374,0.041875,0.040838757
Dipterans,Drosophila sechellia,1,Nuc-OXPHOS,0.124405,0.034173,0.274691532
Dipterans,Drosophila simulans,1,Nuc-OXPHOS,0.045154,0.005635,0.124795146
Dipterans,Drosophila melanogaster (fruit fly),1,Nuc-OXPHOS,0.1081,0.021929,0.202858464
Dipterans,Drosophila yakuba,1,Nuc-OXPHOS,0.161686,0.036809,0.227657311
Dipterans,Aedes aegypti (yellow fever mosquito),1,Nuc-OXPHOS,0.678395,0.064465,0.095025759
Dipterans,Anopheles gambiae (mosquito),1,Nuc-OXPHOS,0.70037,0.051457,0.073471165
Dipterans,Musca domestica (house fly),1,Nuc-OXPHOS,1.803887,0.071653,0.039721446
Dipterans,Drosophila sechellia,1,Nuc-Glycolysis,0.025326,0.001716,0.067756456
Dipterans,Drosophila simulans,1,Nuc-Glycolysis,0.1715,0.114863,0.669755102
Dipterans,Drosophila melanogaster (fruit fly),1,Nuc-Glycolysis,0.12786,0.026454,0.20689817
Dipterans,Drosophila yakuba,1,Nuc-Glycolysis,0.237565,0.083678,0.352232021
Dipterans,Aedes aegypti (yellow fever mosquito),1,Nuc-Glycolysis,0.949528,0.053659,0.056511235
Dipterans,Anopheles gambiae (mosquito),1,Nuc-Glycolysis,0.784446,0.067763,0.086383256
Dipterans,Musca domestica (house fly),1,Nuc-Glycolysis,2.769466,0.092205,0.033293422
Corals,ConcatenatedAlignment,0,Mt,5.1013,0.4108,0.080528493
Corals,ConcatenatedAlignment,0,Nuc-OXPHOS,2.8263,0.3088,0.109259456
Corals,ConcatenatedAlignment,0,Nuc-Glycolysis,2.9981,0.3053,0.10183116
Corals,Atenuis,1,Mt,0.005137,0.001627,0.316721822
Corals,Ahyacinthu,1,Mt,0.001574,0.00012,0.076238882
Corals,Pporites(mt)/Pasteroides(nuc),1,Mt,0.308645,0.021614,0.070028674
Corals,Mfaveolata(mt)/Mcavernosa(nuc),1,Mt,0.035172,0.023058,0.655578301
Corals,Shystrix,1,Mt,1.406417,0.063258,0.044978125
Corals,Mmyriaster(mt)/Mauretenra(nuc),1,Mt,1.352122,0.066836,0.049430451
Corals,Pcarnosus(mt)/Pdaedalea(nuc),1,Mt,0.107537,0.034349,0.319415643
Corals,Atenuis,1,Nuc-OXPHOS,0.049635,0.00401,0.080789765
Corals,Ahyacinthu,1,Nuc-OXPHOS,0.042435,0.00522,0.123011665
Corals,Pporites(mt)/Pasteroides(nuc),1,Nuc-OXPHOS,0.447939,0.035661,0.079611286
Corals,Mfaveolata(mt)/Mcavernosa(nuc),1,Nuc-OXPHOS,0.124885,0.024815,0.198702807
Corals,Shystrix,1,Nuc-OXPHOS,0.631692,0.056285,0.089101967
Corals,Mmyriaster(mt)/Mauretenra(nuc),1,Nuc-OXPHOS,0.488962,0.064421,0.131750525
Corals,Pcarnosus(mt)/Pdaedalea(nuc),1,Nuc-OXPHOS,0.174356,0.027196,0.15597972
Corals,Atenuis,1,Nuc-Glycolysis,0.061087,0.009681,0.158478891
Corals,Ahyacinthu,1,Nuc-Glycolysis,0.073793,0.007816,0.105917905
Corals,Pporites(mt)/Pasteroides(nuc),1,Nuc-Glycolysis,0.663273,0.046669,0.070361676
Corals,Mfaveolata(mt)/Mcavernosa(nuc),1,Nuc-Glycolysis,0.273031,0.031111,0.113946768
Corals,Shystrix,1,Nuc-Glycolysis,0.47544,0.040222,0.084599529
Corals,Mmyriaster(mt)/Mauretenra(nuc),1,Nuc-Glycolysis,0.32836,0.043741,0.133210501
Corals,Pcarnosus(mt)/Pdaedalea(nuc),1,Nuc-Glycolysis,0.237807,0.0217,0.091250468
Silene,ConcatenatedAlignment,0,Mt,0.6754,0.0648,0.09591
Silene,ConcatenatedAlignment,0,Nuc-OXPHOS,0.1673,0.0313,0.18693
Silene,ConcatenatedAlignment,0,Nuc-Glycolysis,0.1855,0.0145,0.078167116
Silene,Sconica,1,Mt,0.083838,0.007086,0.084520146
Silene,Smacrodonta,1,Mt,0.051105,0.008626,0.168789747
Silene,Snoctiflora,1,Mt,0.545908,0.048923,0.089617665
Silene,Sconica,1,Nuc-OXPHOS,0.016801,0.00349,0.207725731
Silene,Smacrodonta,1,Nuc-OXPHOS,0.047463,0.00951,0.200366601
Silene,Snoctiflora,1,Nuc-OXPHOS,0.103067,0.018284,0.177399168
Silene,Sconica,1,Nuc-Glycolysis,0.028646,0.002667,0.093102004
Silene,Smacrodonta,1,Nuc-Glycolysis,0.020948,0.001321,0.063060913
Silene,Snoctiflora,1,Nuc-Glycolysis,0.135996,0.01048,0.07706109
Eudicots,ConcatenatedAlignment,0,Mt,0.3652,0.086,0.235487404
Eudicots,ConcatenatedAlignment,0,Nuc-OXPHOS,5.1843,0.6335,0.122195861
Eudicots,ConcatenatedAlignment,0,Nuc-Glycolysis,6.8297,1.1089,0.162364379
Eudicots,Vitis vinifera (wine grape),1,Mt,0.020967,0.011233,0.535746649
Eudicots,Arabidopsis thaliaConcatenatedAlignment (thale cress),1,Mt,0.07114,0.018424,0.258982288
Eudicots,Ricinus communis (castor bean),1,Mt,0.047006,0.011472,0.244053951
Eudicots,Glycine max (soybean),1,Mt,0.005292,0.002406,0.454648526
Eudicots,Cucumis sativus (cucumber),1,Mt,0.050231,0.013316,0.26509526
Eudicots,NicotiaConcatenatedAlignment,1,Mt,0.03771,0.006099,0.161734288
Eudicots,Humulus,1,Mt,0.025817,0.002646,0.102490607
Eudicots,Lupinus,1,Mt,0.055986,0.009626,0.171935841
Eudicots,VigConcatenatedAlignment radiata (mung bean),1,Mt,0.011096,0.001289,0.116167988
Eudicots,Vitis vinifera (wine grape),1,Nuc-OXPHOS,0.357361,0.04878,0.136500625
Eudicots,Arabidopsis thaliaConcatenatedAlignment (thale cress),1,Nuc-OXPHOS,0.797954,0.090438,0.11333736
Eudicots,Ricinus communis (castor bean),1,Nuc-OXPHOS,0.570048,0.067278,0.11802164
Eudicots,Glycine max (soybean),1,Nuc-OXPHOS,0.145612,0.022346,0.153462627
Eudicots,Cucumis sativus (cucumber),1,Nuc-OXPHOS,0.668807,0.074706,0.111700386
Eudicots,NicotiaConcatenatedAlignment,1,Nuc-OXPHOS,0.802446,0.082231,0.102475431
Eudicots,Humulus,1,Nuc-OXPHOS,0.62598,0.071066,0.113527589
Eudicots,Lupinus,1,Nuc-OXPHOS,0.518761,0.068954,0.132920555
Eudicots,VigConcatenatedAlignment radiata (mung bean),1,Nuc-OXPHOS,0.320704,0.043048,0.134229695
Eudicots,Vitis vinifera (wine grape),1,Nuc-Glycolysis,0.581006,0.126389,0.217534759
Eudicots,Arabidopsis thaliaConcatenatedAlignment (thale cress),1,Nuc-Glycolysis,1.091563,0.11224,0.102825032
Eudicots,Ricinus communis (castor bean),1,Nuc-Glycolysis,0.872815,0.186219,0.213354491
Eudicots,Glycine max (soybean),1,Nuc-Glycolysis,0.439503,0.113815,0.258962965
Eudicots,Cucumis sativus (cucumber),1,Nuc-Glycolysis,0.978085,0.162439,0.166078613
Eudicots,NicotiaConcatenatedAlignment,1,Nuc-Glycolysis,0.734623,0.040936,0.05572382
Eudicots,Humulus,1,Nuc-Glycolysis,0.592248,0.04775,0.080625008
Eudicots,Lupinus,1,Nuc-Glycolysis,0.560546,0.080098,0.142892822
Eudicots,VigConcatenatedAlignment radiata (mung bean),1,Nuc-Glycolysis,0.472327,0.132699,0.28094731
Monocots,ConcatenatedAlignment,0,Mt,0.4156,0.1478,0.355630414
Monocots,ConcatenatedAlignment,0,Nuc-OXPHOS,2.619,0.3644,0.139137075
Monocots,ConcatenatedAlignment,0,Nuc-Glycolysis,3.3783,0.8912,0.26380132
Monocots,Musa acumiConcatenatedAlignmentta (wild Malaysian baConcatenatedAlignmentConcatenatedAlignment),1,Mt,0.222688,0.056919,0.255599763
Monocots,Zea mays (maize),1,Mt,0.050985,0.042383,0.831283711
Monocots,Oryza sativa japonica (Japanese rice) (RefSeq),1,Mt,0.036716,0.01466,0.399280967
Monocots,Sorghum bicolor (sorghum),1,Mt,0.034695,0.007141,0.205822165
Monocots,Phoenix dactylifera (date palm),1,Mt,0.076213,0.026253,0.344468791
Monocots,Musa acumiConcatenatedAlignmentta (wild Malaysian baConcatenatedAlignmentConcatenatedAlignment),1,Nuc-OXPHOS,0.942701,0.091828,0.097409465
Monocots,Zea mays (maize),1,Nuc-OXPHOS,0.340882,0.09102,0.267013219
Monocots,Oryza sativa japonica (Japanese rice) (RefSeq),1,Nuc-OXPHOS,0.385543,0.045803,0.118801275
Monocots,Sorghum bicolor (sorghum),1,Nuc-OXPHOS,0.276605,0.053035,0.191735507
Monocots,Phoenix dactylifera (date palm),1,Nuc-OXPHOS,0.814115,0.083005,0.10195734
Monocots,Musa acumiConcatenatedAlignmentta (wild Malaysian baConcatenatedAlignmentConcatenatedAlignment),1,Nuc-Glycolysis,1.132777,0.19227,0.169733319
Monocots,Zea mays (maize),1,Nuc-Glycolysis,0.359044,0.173012,0.481868518
Monocots,Oryza sativa japonica (Japanese rice) (RefSeq),1,Nuc-Glycolysis,0.651694,0.158652,0.243445543
Monocots,Sorghum bicolor (sorghum),1,Nuc-Glycolysis,0.447234,0.170153,0.380456316
Monocots,Phoenix dactylifera (date palm),1,Nuc-Glycolysis,1.067554,0.195175,0.182824475
Fungi (Aspergillus),ConcatenatedAlignment,0,Mt,0.76618,0.06271,0.081847608
